title,year,sjr_best_quartile,sjr_best_quartile_own
Journal of Environmental Management,2020,D1,D1
Renewable and Sustainable Energy Reviews,2021,D1,D1
Renewable and Sustainable Energy Reviews,2016,D1,D1
Frontiers in Environmental Science,2021,Q1,Q1
Sustainability,2018,Q2,Q1
Journal of Environmental Management,2019,D1,D1
Science of the Total Environment,2023,D1,D1
Journal of Environmental Chemical Engineering,2019,Q1,Q1
Journal of Cleaner Production,2021,D1,D1
Energy,2017,D1,D1
Materials,2022,Q2,Q1
Scientific Reports,2019,D1,D1
Heliyon,2021,Q1,Q1
Data in Brief,2019,Q4,Q1
Hydrobiologia,2020,Q1,Q1
Journal of Environmental Management,2022,D1,D1
Environmental Science and Pollution Research,2017,Q2,Q1
Journal of Environmental Management,2019,D1,D1
Urban Climate,2023,D1,D1
Environmental Science and Pollution Research,2020,Q2,Q1
Energy Conversion and Management,2015,D1,D1
Geobios,2021,Q2,Q1
Environmental Pollution,2022,D1,D1
IEEE Access,2023,D1,D1
Environmental and Sustainability Indicators,2023,Q1,Q1
Sustainable Cities and Society,2021,D1,D1
Materials,2021,Q2,Q1
Hungarian Journal of Industry and Chemistry,2016,other,other
Environ. Eng. Manag. J,2013,other,other
Minerals,2018,Q2,Q2
Energies,2022,D1,D1
Nanomaterials,2022,Q1,Q1
Quaternary International,2020,Q1,Q1
Ecological Indicators,2023,D1,D1
Environmental Science and Pollution Research,2017,Q2,Q1
Environmental Engineering and Management Journal,2014,Q3,Q2
Communications Biology,2023,D1,D1
"Journal of Sustainable Development of Energy, Water and Environment Systems",2018,Q3,Q1
Results in Engineering,2023,Q1,Q1
Data in Brief,2021,Q4,Q1
MethodsX,2020,Q2,Q2
Environmental and Sustainability Indicators,2024,Q1,Q1
Environmental Engineering and Management Journal,2019,Q3,Q2
Environmental Engineering and Management Journal,2019,Q3,Q2
Journal of Water Process Engineering,2024,D1,D1
Ecological Indicators,2024,D1,D1
Energies,2022,D1,D1
Frontiers in Environmental Science,2021,Q1,Q1
Unknown,2020,other,other
Hungarian Journal of Industry and Chemistry,2020,other,other
Insights in Organic & Inorganic Chemistry,2019,other,other
PLoS ONE,2024,D1,D1
Hungarian Journal of Industry and Chemistry,2023,other,other
Unknown,2021,other,other
International Journal of Life Cycle Assessment,2025,D1,D1
Flow Measurement and Instrumentation,2024,Q2,D1
Journal of Environmental Management,2024,D1,D1
Current Research in Green and Sustainable Chemistry,2024,Q1,Q1
Chemistry Journal of Moldova,2023,Q4,Q2
MethodsX,2021,Q2,Q2
Magyar Kémikusok Lapja,2020,other,other
Unknown,2019,other,other
Environmental Engineering and Management Journal,2018,Q3,Q2
Unknown,2016,other,other
Energy and Sustainability V: Special Contributions,2015,other,other
Természet Világa,2014,other,other
Waste Management & Resource Utilisation,2013,other,other
